stratum,n,auc,acc,nll,dataset,model,fold,split_seed
warm,6713,0.6243424960471129,0.6728735289736333,0.6243538203271326,junyi,gkt,2.0,44.0
cold,61,0.7668997668997669,0.7540983606557377,0.5932559891496251,junyi,gikt,2.0,44.0
hot,7874450,0.7125368133592287,0.8275981179637943,0.4230101907333886,junyi,gikt,2.0,44.0
out_of_range,9,0.5,0.3333333333333333,0.7124624141673912,junyi,gikt,2.0,44.0
very_cold,56,1.0,0.8928571428571429,0.2765825897727553,junyi,gikt,2.0,44.0
warm,6713,0.6278620878905958,0.6728735289736333,0.613697910335073,junyi,gikt,2.0,44.0
cold,707,0.7352415992558511,0.7171145685997171,0.5824069927714582,assist2012,bkt,0.0,42.0
hot,807178,0.6035427048550028,0.6938890802276574,0.6014636159051533,assist2012,bkt,0.0,42.0
very_cold,49,0.5806451612903226,0.5714285714285714,0.7252624042595534,assist2012,bkt,0.0,42.0
warm,9017,0.7300873330510187,0.6644116668515028,0.6081369386036587,assist2012,bkt,0.0,42.0
cold,707,0.7640026244539309,0.6944837340876945,0.5983702266024152,assist2012,dkt,0.0,42.0
hot,807178,0.6846722237859897,0.6933885710462871,0.5890780665131262,assist2012,dkt,0.0,42.0
very_cold,49,0.6263440860215054,0.7551020408163265,0.6353440488619065,assist2012,dkt,0.0,42.0
warm,9017,0.7597651534505054,0.6539869136076301,0.6255107401134724,assist2012,dkt,0.0,42.0
cold,707,0.7689940700629537,0.7171145685997171,0.5654254897494269,assist2012,simplekt,0.0,42.0
hot,807178,0.6931192187083105,0.7037171478905521,0.5742290126919928,assist2012,simplekt,0.0,42.0
